phone,data_gb,call_min,vas_sub,daily_data_used,Weekly_data_used,Monthly_data_used,av_expired_data,daily_av_call,weekly_av_call,monthly_av_call,manual_recommendation,manual_incentive
8036926926,13.93,85,True,1.45gb,7.94gb,27.52gb,2.45gb,53min,371min,1855min,Auto-generated MTN recommendation,Airtime
7062848078,0.75,130,True,1.24gb,5.7gb,26.01gb,108mb,19min,114min,342min,Auto-generated MTN recommendation,Airtime
8134176126,0.3,135,True,925mb,3.81gb,11.63gb,132mb,52min,208min,832min,Auto-generated MTN recommendation,Airtime
8035456079,4.27,105,True,585mb,2.74gb,12.92gb,4.16gb,41min,246min,984min,Auto-generated MTN recommendation,Airtime
8037164442,1.93,119,True,1.72gb,7.34gb,34.37gb,1.6gb,26min,182min,728min,Auto-generated MTN recommendation,None
8162035753,0.2,310,True,867mb,4.33gb,20.81gb,41mb,19min,114min,342min,Auto-generated MTN recommendation,None
8063677900,9.54,29,True,1.1gb,5.56gb,18.86gb,534mb,53min,318min,954min,Auto-generated MTN recommendation,Data
9062468344,2.75,73,False,1.92gb,11.86gb,56.97gb,210mb,36min,252min,1260min,Auto-generated MTN recommendation,Data
9036135576,6.87,71,False,763mb,4.15gb,16.02gb,1.98gb,45min,315min,945min,Auto-generated MTN recommendation,Data
8162797294,0.02,300,True,799mb,4.75gb,21.52gb,3mb,40min,240min,720min,Auto-generated MTN recommendation,Data
8061901704,6.89,62,False,1.82gb,7.66gb,23.65gb,3.02gb,25min,125min,625min,Auto-generated MTN recommendation,None
7067451732,7.76,45,True,1.76gb,7.62gb,31.56gb,4.45gb,4min,24min,96min,Auto-generated MTN recommendation,Airtime
7034799790,7.3,35,False,827mb,4.75gb,14.71gb,5.92gb,15min,105min,420min,Auto-generated MTN recommendation,None
8063206549,0.21,263,True,377mb,2.26gb,7.35gb,185mb,58min,406min,1218min,Auto-generated MTN recommendation,Airtime
7069676423,1.98,119,True,834mb,4.68gb,22.9gb,898mb,52min,364min,1456min,Auto-generated MTN recommendation,None
8061981630,13.99,90,True,1.42gb,8.52gb,33.29gb,12.08gb,45min,225min,900min,Auto-generated MTN recommendation,Airtime
9061619926,13.04,77,True,1.77gb,8.87gb,38.26gb,10.24gb,37min,185min,925min,Auto-generated MTN recommendation,Data
7067221933,6.97,58,False,783mb,4.0gb,19.25gb,211mb,39min,234min,1170min,Auto-generated MTN recommendation,Airtime
9066071954,0.19,304,False,1.15gb,5.63gb,18.53gb,164mb,54min,324min,1620min,Auto-generated MTN recommendation,Airtime
7036238792,0.23,325,False,749mb,4.17gb,15.71gb,206mb,22min,110min,440min,Auto-generated MTN recommendation,Airtime
9067061128,22.95,79,False,458mb,2.75gb,10.77gb,19.56gb,41min,205min,615min,Auto-generated MTN recommendation,Data
7037012089,3.19,75,False,428mb,2.12gb,9.16gb,744mb,25min,175min,525min,Auto-generated MTN recommendation,Airtime
9034528264,7.59,68,False,798mb,4.03gb,12.78gb,5.14gb,7min,49min,196min,Auto-generated MTN recommendation,Airtime
8138521727,4.88,97,False,1.91gb,9.65gb,32.16gb,4.77gb,36min,216min,864min,Auto-generated MTN recommendation,None
8133108789,2.97,123,False,337mb,1.34gb,4.19gb,481mb,30min,150min,750min,Auto-generated MTN recommendation,None
7034136797,21.47,21,False,303mb,1.69gb,5.81gb,13.91gb,2min,12min,48min,Auto-generated MTN recommendation,Data
7039228343,1.65,87,True,1.05gb,6.08gb,28.02gb,1.61gb,13min,78min,312min,Auto-generated MTN recommendation,Data
8034943826,1.85,52,True,849mb,4.13gb,20.31gb,942mb,33min,231min,693min,Auto-generated MTN recommendation,Airtime
8167553502,0.67,101,True,882mb,4.07gb,16.6gb,299mb,22min,154min,616min,Auto-generated MTN recommendation,Airtime
8168654495,0.3,343,True,1.45gb,9.76gb,48.75gb,144mb,36min,144min,720min,Auto-generated MTN recommendation,None
7031310814,0.08,269,True,1.81gb,9.26gb,44.07gb,21mb,51min,306min,1530min,Auto-generated MTN recommendation,Airtime
8033463478,3.9,105,True,1.61gb,10.7gb,42.44gb,1.08gb,38min,190min,570min,Auto-generated MTN recommendation,Airtime
7039354586,8.14,52,True,952mb,5.12gb,21.18gb,1.78gb,46min,322min,1288min,Auto-generated MTN recommendation,Data
8037411570,2.59,147,True,1.36gb,8.59gb,38.53gb,1.35gb,16min,64min,192min,Auto-generated MTN recommendation,Airtime
9031855669,0.25,168,False,1.36gb,6.82gb,24.32gb,137mb,18min,90min,360min,Auto-generated MTN recommendation,Airtime
8039720005,0.2,221,False,737mb,3.22gb,13.08gb,13mb,9min,63min,252min,Auto-generated MTN recommendation,None
8135505626,0.06,362,False,1.0gb,4.65gb,18.69gb,16mb,17min,119min,595min,Auto-generated MTN recommendation,Data
7031712271,7.88,111,True,1.34gb,8.72gb,39.5gb,794mb,58min,232min,1160min,Auto-generated MTN recommendation,None
7064889994,0.29,324,False,1.96gb,8.95gb,35.32gb,113mb,48min,240min,960min,Auto-generated MTN recommendation,Airtime
8168838282,0.14,237,True,1.7gb,8.76gb,38.83gb,111mb,43min,172min,860min,Auto-generated MTN recommendation,None
8063794262,0.57,67,True,1.46gb,7.09gb,33.24gb,421mb,10min,60min,240min,Auto-generated MTN recommendation,None
8066498629,0.09,240,True,769mb,3.24gb,11.29gb,41mb,41min,287min,1435min,Auto-generated MTN recommendation,Airtime
8139608746,2.51,147,False,335mb,1.43gb,5.92gb,352mb,37min,222min,888min,Auto-generated MTN recommendation,None
8064218798,6.96,89,False,1.75gb,8.65gb,39.48gb,6.0gb,34min,204min,1020min,Auto-generated MTN recommendation,None
9031095289,1.48,82,False,1.58gb,6.96gb,28.7gb,1.29gb,40min,200min,600min,Auto-generated MTN recommendation,None
9038429667,0.66,144,False,973mb,5.94gb,25.44gb,61mb,5min,35min,105min,Auto-generated MTN recommendation,Data
8066590799,0.07,348,True,935mb,4.02gb,13.7gb,22mb,13min,52min,260min,Auto-generated MTN recommendation,Data
8063077815,0.72,90,True,92mb,638mb,2.65gb,734mb,12min,72min,360min,Auto-generated MTN recommendation,Data
9033267880,0.16,321,False,1.72gb,8.34gb,40.3gb,20mb,18min,108min,324min,Auto-generated MTN recommendation,Data
8039415211,4.72,86,True,1.78gb,12.28gb,59.05gb,29mb,15min,105min,525min,Auto-generated MTN recommendation,Data
7064122271,1.59,105,False,118mb,781mb,3.78gb,1.14gb,42min,210min,1050min,Auto-generated MTN recommendation,None
7038239925,0.03,369,True,150mb,947mb,4.57gb,12mb,50min,250min,1250min,Auto-generated MTN recommendation,Airtime
9034307552,19.97,69,False,1.61gb,10.68gb,41.85gb,16.49gb,39min,273min,1365min,Auto-generated MTN recommendation,None
9033854103,1.26,103,True,1.71gb,10.64gb,45.82gb,941mb,25min,125min,500min,Auto-generated MTN recommendation,None
8036434833,4.52,44,True,1.7gb,9.81gb,46.16gb,850mb,48min,240min,720min,Auto-generated MTN recommendation,None
8031720700,6.08,92,True,981mb,6.7gb,24.17gb,5.89gb,9min,36min,180min,Auto-generated MTN recommendation,Airtime
9063165907,3.71,78,False,1.02gb,5.07gb,24.15gb,2.89gb,22min,110min,330min,Auto-generated MTN recommendation,Data
9039494789,0.24,285,True,1.6gb,9.2gb,33.82gb,84mb,51min,357min,1428min,Auto-generated MTN recommendation,Airtime
7066313036,2.91,108,True,966mb,6.16gb,29.54gb,2.49gb,13min,91min,455min,Auto-generated MTN recommendation,None
7067900745,0.06,107,True,880mb,4.61gb,21.92gb,44mb,39min,273min,1092min,Auto-generated MTN recommendation,None
7032595888,0.04,297,True,1.87gb,7.6gb,23.93gb,0mb,32min,128min,640min,Auto-generated MTN recommendation,None
8166134189,3.39,62,False,1.59gb,8.28gb,33.72gb,2.28gb,14min,84min,252min,Auto-generated MTN recommendation,Airtime
7069129029,3.74,71,False,670mb,3.84gb,17.79gb,1.18gb,55min,275min,825min,Auto-generated MTN recommendation,None
9065760543,7.25,119,False,1.22gb,7.61gb,28.8gb,4.35gb,7min,35min,140min,Auto-generated MTN recommendation,None
8134530153,7.55,113,True,1.01gb,4.42gb,14.85gb,3.2gb,42min,168min,504min,Auto-generated MTN recommendation,Data
7065577962,1.58,100,True,259mb,1.16gb,5.03gb,265mb,3min,15min,75min,Auto-generated MTN recommendation,None
7031632338,0.16,119,True,1.29gb,7.95gb,28.01gb,122mb,35min,245min,980min,Auto-generated MTN recommendation,Data
7069377823,7.57,38,True,1.91gb,12.84gb,56.95gb,5.37gb,2min,10min,30min,Auto-generated MTN recommendation,None
8067662827,0.99,136,True,601mb,2.82gb,9.74gb,365mb,1min,7min,28min,Auto-generated MTN recommendation,Data
8061089792,1.92,88,True,999mb,6.76gb,28.92gb,1.75gb,9min,45min,225min,Auto-generated MTN recommendation,None
9061706984,7.08,87,False,1.25gb,5.99gb,27.67gb,1.39gb,44min,176min,704min,Auto-generated MTN recommendation,Airtime
7037779669,0.21,210,True,1.98gb,10.62gb,47.15gb,46mb,47min,329min,987min,Auto-generated MTN recommendation,Airtime
7066148187,0.07,267,True,1.63gb,8.87gb,42.58gb,64mb,2min,14min,56min,Auto-generated MTN recommendation,Data
8065275654,1.43,100,True,465mb,1.99gb,8.05gb,1.32gb,13min,91min,364min,Auto-generated MTN recommendation,None
8037160941,1.63,96,False,148mb,912mb,3.32gb,1.04gb,7min,28min,84min,Auto-generated MTN recommendation,None
7039532808,4.94,90,False,1.24gb,8.6gb,37.23gb,4.55gb,48min,240min,1200min,Auto-generated MTN recommendation,Data
8062112876,21.82,48,False,1.44gb,5.89gb,17.99gb,15.21gb,26min,104min,312min,Auto-generated MTN recommendation,Data
8066343771,4.52,112,True,479mb,3.15gb,15.37gb,1.7gb,20min,80min,400min,Auto-generated MTN recommendation,Data
8138907603,6.27,77,False,486mb,1.96gb,8.36gb,5.95gb,30min,120min,360min,Auto-generated MTN recommendation,Data
9036222395,0.12,149,False,1.59gb,9.98gb,35.79gb,77mb,15min,60min,240min,Auto-generated MTN recommendation,Data
8162727095,5.42,105,True,1.83gb,8.75gb,26.55gb,4.26gb,0min,0min,0min,Auto-generated MTN recommendation,None
7037788119,1.91,52,False,712mb,3.24gb,10.08gb,1.73gb,37min,259min,777min,Auto-generated MTN recommendation,None
8132618223,2.6,71,True,1.78gb,11.6gb,49.17gb,2.26gb,6min,30min,150min,Auto-generated MTN recommendation,Airtime
7031329973,0.71,101,False,971mb,6.39gb,26.21gb,36mb,38min,190min,570min,Auto-generated MTN recommendation,Airtime
7062906091,0.06,237,False,1.94gb,11.58gb,57.02gb,28mb,46min,230min,920min,Auto-generated MTN recommendation,Airtime
7033754347,2.77,55,True,822mb,4.34gb,17.7gb,974mb,46min,230min,920min,Auto-generated MTN recommendation,Data
8064472755,4.71,47,True,274mb,1.82gb,6.29gb,3.29gb,36min,216min,864min,Auto-generated MTN recommendation,Airtime
7033062420,2.27,107,False,71mb,380mb,1.19gb,200mb,26min,130min,520min,Auto-generated MTN recommendation,None
7064774293,1.46,128,True,1.12gb,6.65gb,22.49gb,950mb,10min,60min,180min,Auto-generated MTN recommendation,Airtime
7031118391,0.04,305,False,550mb,3.65gb,12.91gb,13mb,30min,150min,450min,Auto-generated MTN recommendation,Airtime
8069710393,0.14,107,False,1.23gb,6.45gb,20.5gb,120mb,1min,4min,16min,Auto-generated MTN recommendation,None
9036640104,0.27,159,True,574mb,3.32gb,10.14gb,19mb,33min,231min,924min,Auto-generated MTN recommendation,None
8038799552,0.3,168,True,1.91gb,9.45gb,32.65gb,71mb,41min,246min,738min,Auto-generated MTN recommendation,Airtime
8167693147,2.41,83,False,132mb,590mb,2.43gb,1.49gb,28min,168min,504min,Auto-generated MTN recommendation,None
9068888516,3.77,115,False,618mb,3.79gb,16.97gb,2.3gb,24min,168min,672min,Auto-generated MTN recommendation,None
7063340173,2.01,90,False,325mb,1.71gb,5.7gb,1.62gb,3min,18min,90min,Auto-generated MTN recommendation,Airtime
9063632589,5.61,36,True,1.4gb,6.94gb,34.67gb,5.0gb,52min,312min,1248min,Auto-generated MTN recommendation,Airtime
8132365501,0.53,127,True,1.73gb,11.1gb,37.23gb,504mb,14min,70min,210min,Auto-generated MTN recommendation,Airtime
7065180912,2.16,135,True,1.22gb,5.72gb,28.4gb,2.11gb,54min,324min,1620min,Auto-generated MTN recommendation,Data
7066046743,0.76,73,False,715mb,3.48gb,14.14gb,507mb,27min,162min,810min,Auto-generated MTN recommendation,None
8031481796,0.3,108,False,1.12gb,5.45gb,24.44gb,223mb,24min,120min,480min,Auto-generated MTN recommendation,None
8066680256,13.48,67,False,1.16gb,4.77gb,14.35gb,11.4gb,42min,210min,630min,Auto-generated MTN recommendation,None
9064764725,2.33,60,False,1.7gb,10.48gb,40.91gb,485mb,4min,28min,140min,Auto-generated MTN recommendation,Airtime
8068989152,1.04,71,False,1.06gb,6.64gb,21.98gb,755mb,55min,330min,1650min,Auto-generated MTN recommendation,None
9069773223,5.67,58,False,1.28gb,7.71gb,36.87gb,1.63gb,42min,294min,1470min,Auto-generated MTN recommendation,None
9036052018,1.65,94,False,96mb,545mb,2.1gb,929mb,21min,84min,420min,Auto-generated MTN recommendation,Airtime
8164334173,11.27,45,True,111mb,701mb,2.52gb,7.27gb,36min,144min,720min,Auto-generated MTN recommendation,None
7035562084,10.56,40,False,782mb,3.71gb,15.26gb,1.34gb,40min,200min,800min,Auto-generated MTN recommendation,Data
8065292940,2.35,55,True,997mb,4.11gb,14.22gb,2.33gb,28min,112min,560min,Auto-generated MTN recommendation,Data
7064321015,1.62,85,True,1.54gb,9.55gb,33.08gb,744mb,12min,84min,420min,Auto-generated MTN recommendation,Data
7061826768,6.37,108,False,1.07gb,4.37gb,15.55gb,6.33gb,45min,315min,1260min,Auto-generated MTN recommendation,None
9039945291,10.53,47,True,880mb,4.22gb,18.78gb,7.42gb,44min,308min,1540min,Auto-generated MTN recommendation,Data
8162791617,1.96,81,True,606mb,2.44gb,10.71gb,1.8gb,39min,195min,975min,Auto-generated MTN recommendation,Data
8063442739,5.63,54,False,1.26gb,8.67gb,32.26gb,5.04gb,14min,70min,210min,Auto-generated MTN recommendation,None
8135053514,4.36,111,True,334mb,1.77gb,7.26gb,192mb,42min,210min,630min,Auto-generated MTN recommendation,Data
7031771825,2.05,78,False,1.15gb,5.17gb,17.25gb,2.04gb,46min,184min,736min,Auto-generated MTN recommendation,None
9035150353,0.05,186,False,1.24gb,6.06gb,26.69gb,14mb,4min,16min,48min,Auto-generated MTN recommendation,Airtime
7032879039,1.16,72,True,1.17gb,5.31gb,16.44gb,321mb,47min,188min,564min,Auto-generated MTN recommendation,None
8169096929,1.18,145,True,1.74gb,9.51gb,38.34gb,731mb,46min,184min,736min,Auto-generated MTN recommendation,Airtime
7036772575,4.63,107,False,1.74gb,7.05gb,27.87gb,2.13gb,48min,288min,1152min,Auto-generated MTN recommendation,None
8164398621,5.83,114,True,1.98gb,11.45gb,51.94gb,3.77gb,29min,203min,1015min,Auto-generated MTN recommendation,Data
8133918952,1.8,145,True,1.33gb,5.44gb,24.36gb,558mb,25min,150min,600min,Auto-generated MTN recommendation,Data
9064767980,5.12,50,True,1.81gb,11.16gb,47.57gb,3.01gb,47min,188min,564min,Auto-generated MTN recommendation,Data
8164175580,0.05,112,False,920mb,4.1gb,12.96gb,51mb,19min,133min,399min,Auto-generated MTN recommendation,Data
7038710190,0.61,86,True,1.46gb,7.01gb,27.94gb,196mb,52min,208min,1040min,Auto-generated MTN recommendation,None
8167738246,0.03,367,False,1.22gb,5.36gb,24.27gb,16mb,4min,28min,84min,Auto-generated MTN recommendation,Airtime
8067116128,3.14,103,True,782mb,4.88gb,18.78gb,1.17gb,58min,232min,928min,Auto-generated MTN recommendation,None
9038216055,0.51,102,True,359mb,2.06gb,7.45gb,425mb,48min,240min,720min,Auto-generated MTN recommendation,Data
8063731189,7.35,102,False,251mb,1.36gb,5.52gb,5.07gb,34min,136min,680min,Auto-generated MTN recommendation,Airtime
8061411784,18.61,93,True,457mb,2.83gb,12.9gb,17.32gb,3min,18min,72min,Auto-generated MTN recommendation,None
8163559798,0.1,314,False,559mb,2.51gb,9.68gb,88mb,47min,188min,752min,Auto-generated MTN recommendation,Airtime
9031893130,4.23,119,False,793mb,3.42gb,14.58gb,3.55gb,48min,192min,576min,Auto-generated MTN recommendation,Airtime
8063921952,0.09,281,True,1.74gb,9.3gb,38.35gb,59mb,33min,198min,792min,Auto-generated MTN recommendation,Airtime
8169259665,0.15,387,True,450mb,1.97gb,6.31gb,5mb,56min,224min,1120min,Auto-generated MTN recommendation,Data
7061714756,0.16,301,True,1.9gb,11.82gb,56.77gb,54mb,31min,217min,651min,Auto-generated MTN recommendation,Data
7033434545,2.02,99,False,1.72gb,8.19gb,26.35gb,1.61gb,17min,119min,595min,Auto-generated MTN recommendation,Data
9066991874,2.81,87,True,1.5gb,10.44gb,31.52gb,741mb,43min,215min,860min,Auto-generated MTN recommendation,None
9064593573,2.45,143,True,198mb,827mb,2.93gb,592mb,35min,140min,420min,Auto-generated MTN recommendation,Airtime
8033239565,2.09,55,True,1.0gb,5.38gb,18.58gb,668mb,1min,6min,24min,Auto-generated MTN recommendation,Data
8139531972,4.28,82,True,829mb,4.44gb,19.37gb,1.11gb,55min,275min,825min,Auto-generated MTN recommendation,Airtime
8163540412,2.41,130,True,747mb,4.57gb,16.25gb,1.36gb,8min,56min,224min,Auto-generated MTN recommendation,Data
7035198126,7.79,72,False,1.66gb,11.24gb,54.3gb,162mb,13min,65min,260min,Auto-generated MTN recommendation,None
9067090922,6.12,59,True,1.86gb,11.66gb,49.22gb,3.27gb,45min,270min,1080min,Auto-generated MTN recommendation,Data
7035094717,7.72,98,True,265mb,1.24gb,4.55gb,5.89gb,49min,343min,1029min,Auto-generated MTN recommendation,Data
8163474963,0.21,218,True,883mb,5.92gb,26.15gb,14mb,56min,280min,1400min,Auto-generated MTN recommendation,Data
9033152905,2.96,104,False,1.3gb,5.48gb,20.72gb,1.12gb,8min,56min,224min,Auto-generated MTN recommendation,Data
7066937230,21.84,47,True,424mb,1.87gb,8.55gb,8.52gb,57min,285min,1425min,Auto-generated MTN recommendation,None
9035534580,9.2,26,False,258mb,1.69gb,5.31gb,7.63gb,52min,260min,1040min,Auto-generated MTN recommendation,None
8064279779,3.77,88,True,1.51gb,10.27gb,38.25gb,1.78gb,41min,287min,1435min,Auto-generated MTN recommendation,Airtime
9034607747,1.06,106,True,289mb,1.95gb,8.32gb,1.03gb,57min,342min,1710min,Auto-generated MTN recommendation,None
8164768039,7.17,33,False,1.63gb,6.89gb,24.45gb,3.73gb,2min,8min,40min,Auto-generated MTN recommendation,Airtime
9036014579,1.32,56,True,1.2gb,5.69gb,19.39gb,1.2gb,17min,85min,340min,Auto-generated MTN recommendation,Data
7062062222,0.28,400,False,25mb,105mb,470mb,137mb,34min,204min,612min,Auto-generated MTN recommendation,Data
7067045165,19.09,34,True,1.57gb,6.59gb,20.5gb,4.84gb,41min,287min,1435min,Auto-generated MTN recommendation,None
8032560622,0.76,126,False,997mb,6.67gb,25.31gb,57mb,16min,80min,400min,Auto-generated MTN recommendation,Airtime
7038806274,0.25,298,True,1.56gb,6.91gb,23.6gb,41mb,28min,168min,672min,Auto-generated MTN recommendation,Data
8032698148,2.13,63,False,781mb,4.35gb,13.66gb,1.01gb,36min,144min,432min,Auto-generated MTN recommendation,Airtime
8039991222,7.73,91,True,656mb,4.11gb,17.48gb,1007mb,32min,224min,1120min,Auto-generated MTN recommendation,None
7038188496,4.93,106,False,392mb,1.58gb,7.26gb,4.16gb,32min,160min,800min,Auto-generated MTN recommendation,Data
9032598905,3.95,75,True,1.06gb,5.75gb,21.94gb,2.8gb,56min,336min,1680min,Auto-generated MTN recommendation,Data
7033404264,7.05,90,False,1.01gb,5.89gb,23.95gb,116mb,0min,0min,0min,Auto-generated MTN recommendation,None
7066645969,2.31,89,False,1.65gb,9.15gb,39.19gb,589mb,37min,259min,777min,Auto-generated MTN recommendation,Airtime
9061515018,0.13,147,True,909mb,4.43gb,18.9gb,23mb,10min,70min,210min,Auto-generated MTN recommendation,None
8038034235,18.48,31,True,1.18gb,7.34gb,26.75gb,2.45gb,44min,308min,1540min,Auto-generated MTN recommendation,Data
8039165644,5.2,69,False,1.51gb,7.9gb,27.29gb,228mb,29min,145min,580min,Auto-generated MTN recommendation,None
8134194616,1.84,121,False,1.33gb,6.61gb,32.83gb,1.5gb,15min,60min,180min,Auto-generated MTN recommendation,Airtime
7067836005,1.32,51,False,1.61gb,7.69gb,24.6gb,1.31gb,23min,92min,276min,Auto-generated MTN recommendation,Airtime
9066087070,0.9,132,False,130mb,907mb,3.33gb,231mb,0min,0min,0min,Auto-generated MTN recommendation,None
9064621690,0.05,107,True,956mb,5.27gb,15.97gb,40mb,32min,224min,672min,Auto-generated MTN recommendation,Airtime
8139254465,6.0,36,False,1.08gb,7.41gb,32.42gb,4.24gb,52min,208min,1040min,Auto-generated MTN recommendation,Airtime
9063891820,0.11,101,True,125mb,713mb,3.0gb,100mb,4min,28min,112min,Auto-generated MTN recommendation,Airtime
7033779556,2.13,148,True,1.92gb,9.51gb,37.07gb,464mb,24min,96min,480min,Auto-generated MTN recommendation,Data
8132474405,1.38,110,True,355mb,1.6gb,6.43gb,567mb,51min,357min,1071min,Auto-generated MTN recommendation,None
9039288800,3.01,91,True,1.23gb,6.34gb,19.65gb,2.0gb,38min,190min,950min,Auto-generated MTN recommendation,Data
8164964347,13.59,65,False,1.55gb,10.35gb,31.38gb,6.97gb,8min,40min,120min,Auto-generated MTN recommendation,None
8166782691,3.33,100,True,429mb,2.88gb,13.97gb,547mb,11min,55min,220min,Auto-generated MTN recommendation,Airtime
7035450492,0.09,113,False,1.44gb,8.71gb,32.58gb,20mb,44min,264min,1320min,Auto-generated MTN recommendation,None
8066024791,0.07,365,True,1.41gb,9.05gb,29.29gb,36mb,51min,357min,1785min,Auto-generated MTN recommendation,Airtime
8138988528,17.72,26,True,31mb,180mb,635mb,4.66gb,60min,420min,1260min,Auto-generated MTN recommendation,None
9034160696,2.46,51,True,1.35gb,6.95gb,27.33gb,2.02gb,16min,64min,192min,Auto-generated MTN recommendation,Airtime
8131351390,2.82,107,True,1.49gb,6.09gb,28.33gb,1.36gb,57min,399min,1995min,Auto-generated MTN recommendation,None
7069444189,0.16,107,True,1.78gb,10.83gb,38.56gb,110mb,26min,156min,624min,Auto-generated MTN recommendation,None
7037369432,5.22,80,False,804mb,5.18gb,21.57gb,4.2gb,26min,104min,520min,Auto-generated MTN recommendation,None
9062952226,0.06,318,False,57mb,345mb,1.48gb,34mb,17min,119min,357min,Auto-generated MTN recommendation,None
7065557366,1.7,105,False,1.54gb,10.01gb,33.68gb,373mb,11min,55min,275min,Auto-generated MTN recommendation,Airtime
9063142182,12.24,53,True,611mb,3.47gb,16.59gb,4.94gb,43min,215min,1075min,Auto-generated MTN recommendation,Data
9066934582,2.31,130,False,887mb,4.31gb,14.18gb,753mb,5min,20min,60min,Auto-generated MTN recommendation,None
8131669240,9.7,48,False,1.84gb,11.82gb,49.92gb,208mb,47min,329min,987min,Auto-generated MTN recommendation,None
7061205646,15.36,59,False,1.37gb,8.65gb,35.73gb,8.28gb,29min,203min,609min,Auto-generated MTN recommendation,Data
8066587968,2.44,102,False,499mb,2.39gb,7.49gb,2.19gb,25min,150min,750min,Auto-generated MTN recommendation,Airtime
9037276312,2.94,134,True,62mb,305mb,1.17gb,2.32gb,49min,196min,980min,Auto-generated MTN recommendation,None
9069973807,2.52,110,False,1.47gb,8.12gb,27.05gb,2.33gb,49min,245min,1225min,Auto-generated MTN recommendation,None
7032997845,20.79,58,True,753mb,3.34gb,11.04gb,5.42gb,53min,265min,795min,Auto-generated MTN recommendation,Airtime
9034148349,0.06,338,False,763mb,4.25gb,12.95gb,17mb,57min,228min,684min,Auto-generated MTN recommendation,Airtime
8068314059,0.07,174,True,1.02gb,6.94gb,23.19gb,70mb,30min,120min,600min,Auto-generated MTN recommendation,None
8161723802,11.22,28,False,1.6gb,9.07gb,39.56gb,2.12gb,35min,140min,420min,Auto-generated MTN recommendation,Airtime
7034062406,22.24,23,True,718mb,4.66gb,15.58gb,22.19gb,53min,318min,954min,Auto-generated MTN recommendation,Data
9039367679,2.74,54,True,179mb,1.2gb,3.9gb,2.58gb,15min,75min,375min,Auto-generated MTN recommendation,Data
8061631390,2.22,95,True,1.66gb,7.4gb,36.68gb,859mb,6min,30min,150min,Auto-generated MTN recommendation,None
8031723838,0.22,143,True,311mb,2.0gb,6.03gb,7mb,20min,80min,320min,Auto-generated MTN recommendation,Airtime
7034325079,0.72,88,True,505mb,2.34gb,11.03gb,342mb,28min,140min,700min,Auto-generated MTN recommendation,Data
